Investor Name,Investor Slug,Investor Type,Impact Focus,Website,HQ Country,AUM Bucket,Status,Notes
BGK Poland,bgk-poland,dfi,unknown,https://www.bgk.pl/en/news/,,unknown,active,
Adaptation Fund,adaptation-fund,dfi,unknown,https://www.adaptation-fund.org/category/news/,,unknown,active,
EFSD+,efsd,dfi,unknown,https://international-partnerships.ec.europa.eu/policies/european-fund-sustainable-development-plus-efsd_en,,unknown,active,
Development Bank of Nigeria,development-bank-of-nigeria,dfi,unknown,https://www.devbankng.com/news/,,unknown,active,
BSTDB,bstdb,dfi,unknown,https://www.bstdb.org/news,,unknown,active,
SIDBI,sidbi,dfi,unknown,https://www.sidbi.in/en/news,,unknown,active,
Ford Foundation,ford-foundation,foundation,unknown,https://www.fordfoundation.org/news-and-stories/,,unknown,active,
Rockefeller Foundation,rockefeller-foundation,foundation,unknown,https://www.rockefellerfoundation.org/news/,,unknown,active,
Bill & Melinda Gates Foundation,bill-melinda-gates-foundation,foundation,unknown,https://www.gatesfoundation.org/ideas/media-center/press-releases,,unknown,active,
MacArthur Foundation,macarthur-foundation,foundation,unknown,https://www.macfound.org/press,,unknown,active,
Omidyar Network,omidyar-network,foundation,unknown,https://omidyar.com/news/,,unknown,active,
Skoll Foundation,skoll-foundation,foundation,unknown,https://skoll.org/news/,,unknown,active,
W.K. Kellogg Foundation,w-k-kellogg-foundation,foundation,unknown,https://www.wkkf.org/news-and-media,,unknown,active,
Hewlett Foundation,hewlett-foundation,foundation,unknown,https://hewlett.org/news/,,unknown,active,
Conrad N. Hilton Foundation,conrad-n-hilton-foundation,foundation,unknown,https://www.hiltonfoundation.org/news,,unknown,active,
Mastercard Foundation,mastercard-foundation,foundation,unknown,https://mastercardfdn.org/news/,,unknown,active,
Open Society Foundations,open-society-foundations,foundation,unknown,https://www.opensocietyfoundations.org/newsroom,,unknown,active,
Wellcome Trust,wellcome-trust,foundation,unknown,https://wellcome.org/news,,unknown,active,
Shell Foundation,shell-foundation,foundation,unknown,https://shellfoundation.org/news/,,unknown,active,
Visa Foundation,visa-foundation,foundation,unknown,https://usa.visa.com/about-visa/visa-foundation.html,,unknown,active,
Co-Impact,co-impact,foundation,unknown,https://www.co-impact.org/news/,,unknown,active,
Bloomberg Philanthropies,bloomberg-philanthropies,foundation,unknown,https://www.bloomberg.org/press/,,unknown,active,
Children's Investment Fund Foundation,children-s-investment-fund-foundation,foundation,unknown,https://ciff.org/news/,,unknown,active,
David and Lucile Packard Foundation,david-and-lucile-packard-foundation,foundation,unknown,https://www.packard.org/news-insights/,,unknown,active,
IKEA Foundation,ikea-foundation,foundation,unknown,https://ikeafoundation.org/press-release/,,unknown,active,
Children's Investment Fund Foundation US,children-s-investment-fund-foundation-us,foundation,unknown,https://ciff.org/,,unknown,active,
Chan Zuckerberg Initiative,chan-zuckerberg-initiative,foundation,unknown,https://chanzuckerberg.com/newsroom/,,unknown,active,
Yield Giving,yield-giving,foundation,unknown,https://yieldgiving.com/,,unknown,active,
Acumen Capital Partners,acumen-capital-partners,family-office,unknown,https://acumen.org/blog/,,unknown,active,
Emerson Collective,emerson-collective,family-office,unknown,https://www.emersoncollective.com/news/,,unknown,active,
Surdna Foundation,surdna-foundation,foundation,unknown,https://surdna.org/news/,,unknown,active,
Schmidt Family Foundation / 11th Hour Project,schmidt-family-foundation-11th-hour-project,family-office,unknown,https://tsffoundation.org/our-work/,,unknown,active,
Sorenson Impact Foundation,sorenson-impact-foundation,family-office,unknown,https://sorensonimpact.com/news/,,unknown,active,
KL Felicitas Foundation,kl-felicitas-foundation,foundation,unknown,https://klfelicitasfoundation.org/,,unknown,active,
The Russell Family Foundation,the-russell-family-foundation,foundation,unknown,https://www.trff.org/news/,,unknown,active,
Heron Foundation,heron-foundation,family-office,unknown,https://www.heron.org/news,,unknown,active,
McConnell Foundation,mcconnell-foundation,family-office,unknown,https://mcconnellfoundation.ca/news/,,unknown,active,
Cordes Foundation,cordes-foundation,family-office,unknown,https://www.cordesfoundation.org/news,,unknown,active,
Tara Health Foundation,tara-health-foundation,family-office,unknown,https://tarahealth.org/news,,unknown,active,
NoVo Foundation,novo-foundation,family-office,unknown,https://novofoundation.org/news/,,unknown,active,
Howard G. Buffett Foundation,howard-g-buffett-foundation,foundation,unknown,https://www.thehowardgbuffettfoundation.org/news/,,unknown,active,
Helmsley Charitable Trust,helmsley-charitable-trust,family-office,unknown,https://helmsleytrust.org/news/,,unknown,active,
Walton Family Foundation,walton-family-foundation,foundation,unknown,https://www.waltonfamilyfoundation.org/stories,US,unknown,active,US 501(c)(3) (EIN 13-3441466); operator override of auto family-office classification — WFF self-identifies as a foundation despite the family namesake. Discovered via Meloy Fund I LP scrape (2026-04-30).
Patrick J. McGovern Foundation,patrick-j-mcgovern-foundation,family-office,unknown,https://www.mcgovern.org/news/,,unknown,active,
Lemelson Foundation,lemelson-foundation,family-office,unknown,https://www.lemelson.org/news/,,unknown,active,
Cisneros Foundation,cisneros-foundation,family-office,unknown,https://fundacioncisneros.org/en/,,unknown,active,
Tata Trusts,tata-trusts,family-office,unknown,https://www.tatatrusts.org/our-news/news,,unknown,active,
Wadhwani Foundation,wadhwani-foundation,family-office,unknown,https://wadhwanifoundation.org/news/,,unknown,active,
Azim Premji Foundation,azim-premji-foundation,family-office,unknown,https://azimpremjifoundation.org/announcements,,unknown,active,
Prince Albert II of Monaco Foundation,prince-albert-ii-of-monaco-foundation,foundation,unknown,https://www.fpa2.org/en/news.html,,unknown,active,
Esmée Fairbairn Foundation,esmee-fairbairn-foundation,family-office,unknown,https://esmeefairbairn.org.uk/news/,,unknown,active,
Lankelly Chase,lankelly-chase,family-office,unknown,https://lankellychase.org.uk/blog/,,unknown,active,
John Ellerman Foundation,john-ellerman-foundation,family-office,unknown,https://ellerman.org.uk/news/,,unknown,active,
Argidius Foundation,argidius-foundation,family-office,unknown,https://www.argidius.com/en/news,,unknown,active,
MetLife Foundation,metlife-foundation,other,unknown,https://www.metlife.com/metlife-foundation/,,unknown,active,
Citi Foundation,citi-foundation,other,unknown,https://www.citigroup.com/global/foundation,,unknown,active,
JPMorgan Chase Foundation,jpmorgan-chase-foundation,other,unknown,https://www.jpmorganchase.com/impact,,unknown,active,
Bank of America Foundation,bank-of-america-foundation,other,unknown,https://about.bankofamerica.com/en/making-an-impact,,unknown,active,
Nuveen / TIAA Impact,nuveen-tiaa-impact,other,unknown,https://www.nuveen.com/global/insights,,unknown,active,
Prudential Financial Impact Investments,prudential-financial-impact-investments,other,unknown,https://www.prudential.com/links/about/corporate-social-responsibility,,unknown,active,
Global Innovation Fund,global-innovation-fund,dfi,unknown,https://www.globalinnovation.fund/news/,,unknown,active,
Grand Challenges Canada,grand-challenges-canada,foundation,unknown,https://www.grandchallenges.ca/news/,,unknown,active,
Climate Investment Funds,climate-investment-funds,dfi,unknown,https://www.cif.org/news,,unknown,active,
Green Climate Fund,green-climate-fund,dfi,unknown,https://www.greenclimate.fund/news,,unknown,active,
Global Environment Facility,global-environment-facility,dfi,unknown,https://www.thegef.org/newsroom,,unknown,active,
GAVI The Vaccine Alliance,gavi-the-vaccine-alliance,foundation,unknown,https://www.gavi.org/news,,unknown,active,
The Global Fund,the-global-fund,foundation,unknown,https://www.theglobalfund.org/en/news/,,unknown,active,
Educate Girls DIB / UBS Optimus,educate-girls-dib-ubs-optimus,other,unknown,https://www.ubs.com/microsites/optimus-foundation/en/news.html,,unknown,active,
IDH Sustainable Trade,idh-sustainable-trade,foundation,unknown,https://www.idhsustainabletrade.com/news/,,unknown,active,
AgDevCo,agdevco,dfi,unknown,https://www.agdevco.com/news,,unknown,active,
Power Africa,power-africa,dfi,unknown,https://www.usaid.gov/powerafrica/newsroom,,unknown,active,
Global Partnership for Education,global-partnership-for-education,foundation,unknown,https://www.globalpartnership.org/news,,unknown,active,
USAID DIV,usaid-div,dfi,unknown,https://www.usaid.gov/div,,unknown,active,
UK FCDO What Works,uk-fcdo-what-works,dfi,unknown,https://www.gov.uk/government/organisations/foreign-commonwealth-development-office,,unknown,active,
SIDA Sweden,sida-sweden,dfi,unknown,https://www.sida.se/en/news,,unknown,active,
NORAD,norad,dfi,unknown,https://www.norad.no/en/front/news/,,unknown,active,
GIZ Germany,giz-germany,dfi,unknown,https://www.giz.de/en/mediacenter/news.html,,unknown,active,
UNDP SDG Impact,undp-sdg-impact,dfi,unknown,https://www.undp.org/news,,unknown,active,
Luminate,luminate,foundation,unknown,https://www.luminategroup.com/posts,,unknown,active,
Robert Wood Johnson Foundation,robert-wood-johnson-foundation,foundation,unknown,https://www.rwjf.org/en/news-and-insights.html,,unknown,active,
Ceniarth / McKnight Foundation,ceniarth-mcknight-foundation,foundation,unknown,https://www.mcknight.org/news-ideas/,,unknown,active,
Margaret A. Cargill Philanthropies,margaret-a-cargill-philanthropies,foundation,unknown,https://www.macphilanthropies.org/news,,unknown,active,
Echoing Green,echoing-green,foundation,unknown,https://echoinggreen.org/news/,,unknown,active,
Autodesk Foundation,autodesk-foundation,other,unknown,https://www.autodesk.org/newsroom,,unknown,active,
Patagonia,patagonia,other,unknown,https://www.patagonia.com/stories/,,unknown,active,
Pfizer Foundation,pfizer-foundation,other,unknown,https://www.pfizer.com/about/responsibility/pfizer-foundation,,unknown,active,
Novo Nordisk Foundation,novo-nordisk-foundation,foundation,unknown,https://novonordiskfonden.dk/en/news/,,unknown,active,
Bezos Earth Fund,bezos-earth-fund,foundation,unknown,https://www.bezosearthfund.org/news,,unknown,active,
Laudes Foundation,laudes-foundation,foundation,unknown,https://www.laudesfoundation.org/latest,,unknown,active,
Ikea Social Entrepreneurship,ikea-social-entrepreneurship,other,unknown,https://ikeasocialentrepreneurship.org/news/,,unknown,active,
Vitol Foundation,vitol-foundation,other,unknown,https://www.vitol.com/about-us/vitol-foundation/,,unknown,active,
Jacobs Foundation,jacobs-foundation,foundation,unknown,https://jacobsfoundation.org/news/,,unknown,active,
International Finance Corporation,international-finance-corporation,dfi,unknown,,US,unknown,active,Seeded from content/dfi_ingo_commitments.yml.
TIAA,tiaa,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
IDB Lab,idb-lab,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Dutch Good Growth Fund (DGGF),dutch-good-growth-fund-dggf,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Bancóldex,bancoldex,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Mercantil Colpatria,mercantil-colpatria,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Fundación Bancolombia,fundacion-bancolombia,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Fundación Sura,fundacion-sura,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Fundación WWB Colombia,fundacion-wwb-colombia,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Government of Luxembourg,government-of-luxembourg,government,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Government of Côte d'Ivoire,government-of-cote-d-ivoire,government,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Government of the Democratic Republic of the Congo,government-of-the-democratic-republic-of-the-congo,government,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Government of Tunisia,government-of-tunisia,government,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
International Trade Centre,international-trade-centre,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
CARE Enterprises,care-enterprises,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Bamboo Capital Partners,bamboo-capital-partners,vc,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Common Fund for Commodities,common-fund-for-commodities,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Banca Etica,banca-etica,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Crédit Coopératif,credit-cooperatif,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
SOS Faim Luxembourg,sos-faim-luxembourg,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
SIDI (Solidarité Internationale pour le Développement et l'Investissement),sidi-solidarite-internationale-pour-le-developpement-et-l-investissement,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Alterfin,alterfin,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Australian Department of Foreign Affairs and Trade (DFAT),australian-department-of-foreign-affairs-and-trade-dfat,government,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Standard Chartered Bank,standard-chartered-bank,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
ANZ,anz,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Global Affairs Canada,global-affairs-canada,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Nuveen,nuveen,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
APG,apg,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
PayPal,paypal,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
MetLife,metlife,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Uniting Financial Services (UFS),uniting-financial-services-ufs,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Pathfinder,pathfinder,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Alvarium,alvarium,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Grieg Foundation,grieg-foundation,foundation,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Impax Asset Management,impax-asset-management,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Volksvermogen,volksvermogen,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
ACV-CSC Metea,acv-csc-metea,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Incofin Investment Management,incofin-investment-management,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
AXA Investment Managers,axa-investment-managers,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
KBC Pensioenfonds,kbc-pensioenfonds,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Korys,korys,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Invest in Visions Global Social Impact Fund,invest-in-visions-global-social-impact-fund,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Maatschappij voor Roerend Bezit van de Boerenbond (MRBB),maatschappij-voor-roerend-bezit-van-de-boerenbond-mrbb,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
vdk bank,vdk-bank,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
SPF (Dutch railway pension fund),spf-dutch-railway-pension-fund,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
SPOV (public transport pension fund),spov-public-transport-pension-fund,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
BNP Paribas,bnp-paribas,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
King Baudouin Foundation,king-baudouin-foundation,foundation,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Rikolto,rikolto,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Boerenbond,boerenbond,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Louvain Coopération,louvain-cooperation,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Trias,trias,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Broederlijk Delen,broederlijk-delen,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
CLAC (Coordinadora Latinoamericana y del Caribe de Pequeños Productores),clac-coordinadora-latinoamericana-y-del-caribe-de-pequenos-productores,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Oxfam-Solidarité Belgium,oxfam-solidarite-belgium,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
KU Leuven,ku-leuven,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Solidaridad,solidaridad,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Sobrato Philanthropies,sobrato-philanthropies,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
The Missionary Sisters of the Sacred Heart of Jesus,the-missionary-sisters-of-the-sacred-heart-of-jesus,foundation,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
The Shapiro Family Foundation,the-shapiro-family-foundation,foundation,unknown,,,unknown,active,Family-named foundation; reclassified from family-office.
The Dunn Family Charitable Foundation,the-dunn-family-charitable-foundation,foundation,unknown,,,unknown,active,Family-named foundation; reclassified from family-office.
The Fairmount Foundation,the-fairmount-foundation,foundation,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Vanguard Charitable,vanguard-charitable,foundation,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
CapShift,capshift,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
The JMB Charitable Fund,the-jmb-charitable-fund,foundation,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
The Todd and Anne McCormack Fund,the-todd-and-anne-mccormack-fund,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Oxfam,oxfam,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
City of London Corporation,city-of-london-corporation,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Symbiotics,symbiotics,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Bank of America,bank-of-america,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Overseas Private Investment Corporation (OPIC),overseas-private-investment-corporation-opic,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Niagara Bottling,niagara-bottling,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Osprey Foundation,osprey-foundation,foundation,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Starbucks,starbucks,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Ecolab,ecolab,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Gap Inc.,gap-inc,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Reckitt,reckitt,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
DuPont,dupont,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
European Union,european-union,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
German Federal Ministry for Economic Cooperation and Development (BMZ),german-federal-ministry-for-economic-cooperation-and-development-bmz,government,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Sasakawa Peace Foundation,sasakawa-peace-foundation,foundation,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
MEDA,meda,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Dreilinden,dreilinden,other,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
USAID,usaid,government,unknown,,,unknown,active,Discovered via LP scraper; awaiting operator review.
Burnt Island Ventures,burnt-island-ventures,vc,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Sand River Ventures,sand-river-ventures,vc,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Amadeus Capital Partners,amadeus-capital-partners,vc,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Ripple,ripple,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Cerulean,cerulean,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Blizzard,blizzard,other,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
Mercy Corps Ventures,mercy-corps-ventures,vc,unknown,,,unknown,active,Discovered via portco-investor scraper; awaiting operator review.
