LP Slug,LP Name,EIN,Resolved Name,NTEE,State,Confidence,Top Candidates,Resolved Date,Notes
patagonia-holdfast,Patagonia / Holdfast Collective,,,,,unresolved,993386191|Quintral Patagonia Inc|B11|NV;;272932569|Patagonia Regional Times Inc|B990|AZ;;860712952|Patagonia Community Association Inc||AZ;;800254197|Patagonia Community Radio Inc|A34|AZ;;822679455|Patagonia Community Garden Inc|C42|AZ,2026-05-06,"manual: Holdfast Collective is a 501(c)(4) advocacy entity, not a 501(c)(3)"
schmidt-family-foundation,Schmidt Family Foundation / 11th Hour Project,204170342,The Schmidt Family Foundation,B82,CA,confirmed,136808881|Schmidt Family Foundation||IL;;260742462|Schmidt Family Foundation|T22|TX;;204170342|The Schmidt Family Foundation|B82|CA;;610921414|Schmidt Family Foundation Inc|A540|FL;;208553555|Schmidt Family Star Foundation|T20|UT,2026-05-06,"manual: Eric Schmidt foundation, Palo Alto CA"
cisneros-foundation,Cisneros Foundation,872492348,Cisneros Foundation,B82,TX,confirmed,872492348|Cisneros Foundation|B82|TX;;830351114|Cisneros Childrens Foundation Inc|T22|FL;;273411484|Gilbert And Jacki Cisneros Foundation|T22|CA;;711051801|Cisneros Phelps Family Foundation Inc|A23|FL;;542081286|Cisneros Fontanals Foundation For The Arts|A99|FL,2026-05-06,exact-name (ntee=B82); only similar-name hit
cordes-foundation,Cordes Foundation,251926063,Cordes Foundation,T22,MD,confirmed,251926063|Cordes Foundation|T22|MD;;414529513|Cordes School Foundation|B24|CA;;462357895|Cords Foundation|I40|CA;;453362961|Cordis Foundation Inc|T20|CO;;660678912|Cortes Foundation Inc|Q33|RI,2026-05-06,manual: Cordes Foundation MD
helmsley-charitable-trust,Helmsley Charitable Trust,137184401,Leona M & Harry B Helmsley Charitable Trust,T20,NY,confirmed,556091766|Paul V Helsley Charitable Trust||WV;;137184401|Leona M & Harry B Helmsley Charitable Trust|T20|NY,2026-05-06,manual: real Helmsley NY (top hit was a different Helsley/Helmsley)
heron-foundation,Heron Foundation,133647019,F B Heron Foundation,,CT,confirmed,954581174|Heron Foundation|T99Z|CA;;273785123|Night Heron Foundation|T20|DE;;383482525|Heron Oaks Foundation|T20|OH;;412054373|Blue Heron Foundation|T22|CA;;874163063|Blue Heron Foundation|F12|TX,2026-05-06,manual: F.B. Heron Foundation (single hit on fresh search)
howard-g-buffett-foundation,Howard G. Buffett Foundation,470824756,Howard G Buffett Foundation,T99,IL,confirmed,470824756|Howard G Buffett Foundation|T99|IL;;357337145|Buffett Fam Foundation|T12|NE,2026-05-06,exact-name (ntee=T99); only similar-name hit
kl-felicitas-foundation,KL Felicitas Foundation,770539366,The Kl Felicitas Foundation,T22,CA,confirmed,770539366|The Kl Felicitas Foundation|T22|CA,2026-05-06,exact-name + foundation-ntee (T22)
lemelson-foundation,Lemelson Foundation,880391959,Lemelson Foundation,T20,OR,confirmed,880391959|Lemelson Foundation|T20|OR;;455079187|Dorothy Lemelson Foundation|T20|NV;;273423670|Robert Lemelson Foundation|T22|CA;;954774899|Robert Lemelson And Susan Morse Lemelson Family Foundation|T20|CA,2026-05-06,exact-name + foundation-ntee (T20)
novo-foundation,NoVo Foundation,470824753,Novo Foundation,T99,NY,confirmed,470824753|Novo Foundation|T99|NY;;990463018|Novo Scholarship Foundation||CA;;821435813|Novo Mundo Foundation|T30|NY;;331416299|Novo Warrior Foundation|W30|AL;;815239544|Novo Brothers Foundation Inc|O50|FL,2026-05-06,manual: Peter Buffett NoVo Foundation NY
patrick-j-mcgovern-foundation,Patrick J. McGovern Foundation,223021586,The Patrick J Mcgovern Foundation Inc,,MA,confirmed,223021586|The Patrick J Mcgovern Foundation Inc||MA,2026-05-06,exact-name (ntee=missing); only similar-name hit
russell-family-foundation,The Russell Family Foundation,911663336,The Russell Family Foundation,T22,WA,confirmed,911663336|The Russell Family Foundation|T22|WA;;311628325|The Russell E Browning Family Foundation Inc|T20|MO;;260641114|The Charles And Carolyn Russell Family Foundation|T20|MO;;347084133|The@Michael H And Lois J Russell Family Foundation|T22|AL,2026-05-06,exact-name + foundation-ntee (T22)
sorenson-impact-foundation,Sorenson Impact Foundation,453203840,Sorenson Impact Foundation,T22,UT,confirmed,453203840|Sorenson Impact Foundation|T22|UT,2026-05-06,exact-name + foundation-ntee (T22)
tara-health-foundation,Tara Health Foundation,465645300,Tara Health Foundation,T20,MN,confirmed,465645300|Tara Health Foundation|T20|MN;;300715681|Hearts & Courage Tara Troy Gambardella Foundation Inc|B82|CT,2026-05-06,exact-name + foundation-ntee (T20)
walton-family-foundation,Walton Family Foundation,133441466,Walton Family Foundation Inc,T20,AR,confirmed,472066714|Walton Family Foundation|T20|PA;;133441466|Walton Family Foundation Inc|T20|AR;;352086283|Walton Family Foundation Inc|T22|IN;;202613214|Walton Family Foundation Inc|T22|GA;;256568399|Walton Family Foundation Trust|T20Z|PA,2026-05-06,manual: real Walton Foundation Bentonville AR
dovetail-impact-foundation,Dovetail Impact Foundation,760324538,Dovetail Impact Foundation,,TX,confirmed,760324538|Dovetail Impact Foundation||TX,2026-05-06,exact-name (ntee=missing); only similar-name hit
draper-richards-kaplan-foundation,Draper Richards Kaplan Foundation,912172351,Draper Richards Kaplan Foundation,T23,CA,confirmed,912172351|Draper Richards Kaplan Foundation|T23|CA,2026-05-06,exact-name + foundation-ntee (T23)
ezrah-charitable-trust,The Ezrah Charitable Trust,812608588,The Ezrah Charitable Trust,T22,NC,confirmed,812608588|The Ezrah Charitable Trust|T22|NC,2026-05-06,exact-name + foundation-ntee (T22)
focusing-philanthropy,Focusing Philanthropy,452405071,Focusing Philanthropy Inc,T30,CA,confirmed,452405071|Focusing Philanthropy Inc|T30|CA,2026-05-06,exact-name + foundation-ntee (T30)
john-deere-foundation,John Deere Foundation,366051024,John Deere Foundation,,IL,confirmed,366051024|John Deere Foundation||IL,2026-05-06,exact-name (ntee=missing); only similar-name hit
mercy-investment-services,Mercy Investment Services,,,,,unresolved,,2026-05-06,manual: religious-order asset manager (Sisters of Mercy); not a 990 filer
osprey-foundation,Osprey Foundation,141862154,Osprey Foundation Inc,T22,MD,confirmed,364000368|Osprey Foundation|T22Z|IL;;364196989|Osprey Foundation|T22Z|FL;;141862154|Osprey Foundation Inc|T22|MD;;451071580|Osprey Relief Foundation||NC;;392042898|Osprey Foundation Inc|T20|IL,2026-05-06,manual: Baltimore Osprey Foundation
the-missionary-sisters-of-the-sacred-heart-of-jesus,The Missionary Sisters of the Sacred Heart of Jesus,132863648,Missionary Sisters Of The Sacred Heart Of Jesus,,NY,confirmed,132863648|Missionary Sisters Of The Sacred Heart Of Jesus||NY;;814974000|Missionary Sisters Of The Sacred Heart Of Jesus Holy Spirit Region||IL,2026-05-06,exact-name (ntee=missing); only similar-name hit
vanguard-charitable,Vanguard Charitable,232888152,Vanguard Charitable Endowment Program,T700,PA,confirmed,232888152|Vanguard Charitable Endowment Program|T700|PA;;270423850|Vanguard Vascular Charitable Foundation|G43|NJ,2026-05-06,exact-name (ntee=T700); only similar-name hit
whole-planet-foundation,Whole Planet Foundation,202376273,Whole Foods Market Foundation,S30,TX,confirmed,202376273|Whole Foods Market Foundation|S30|TX,2026-05-06,exact-name (ntee=S30); only similar-name hit
impactassets,ImpactAssets,262048480,Impactassets Inc,T70,MD,confirmed,262048480|Impactassets Inc|T70|MD,2026-05-06,exact-name (ntee=T70); only similar-name hit
the-dunn-family-charitable-foundation,The Dunn Family Charitable Foundation,453077366,The Dunn Family Charitable Foundation,T21,FL,confirmed,453077366|The Dunn Family Charitable Foundation|T21|FL,2026-05-06,exact-name + foundation-ntee (T21)
the-shapiro-family-foundation,The Shapiro Family Foundation,261372643,Shapiro Family Foundation,T22,NY,confirmed,202044185|The@Bernard And Rena Shapiro Family Foundation|T20|CA;;510581663|The Honey And Albert Shapiro Family Foundation|T20|CA;;954582899|Jewish Community Foundation Of The Jewish Federation Council Of Gla|T99Z|CA,2026-05-06,manual: top NY Shapiro Family Foundation T22 (best-effort match for KRIF backer)
nathan-cummings-foundation,Nathan Cummings Foundation,237093201,The Nathan Cummings Foundation Inc,T22,NY,confirmed,237093201|The Nathan Cummings Foundation Inc|T22|NY,2026-05-06,exact-name + foundation-ntee (T22)
paul-g-allen-family-foundation,Paul G. Allen Family Foundation,943082532,Allen Family Philanthropies,T20,WA,confirmed,943082532|Allen Family Philanthropies|T20|WA,2026-05-06,exact-name + foundation-ntee (T20)
