Run Number,LP Slug,EIN,Entity Type,Status,Filings With Data,Latest Filing Year,Source URL,Source Date
1,walton-family-foundation,133441466,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/133441466.json,2026-05-06
1,dovetail-impact-foundation,760324538,,ok,11,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/760324538.json,2026-05-06
1,draper-richards-kaplan-foundation,912172351,,ok,6,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/912172351.json,2026-05-06
1,ezrah-charitable-trust,812608588,,ok,5,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/812608588.json,2026-05-06
1,focusing-philanthropy,452405071,,ok,12,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/452405071.json,2026-05-06
1,john-deere-foundation,366051024,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/366051024.json,2026-05-06
1,osprey-foundation,141862154,,ok,11,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/141862154.json,2026-05-06
1,the-missionary-sisters-of-the-sacred-heart-of-jesus,132863648,,ok,0,,https://projects.propublica.org/nonprofits/api/v2/organizations/132863648.json,2026-05-06
1,vanguard-charitable,232888152,,ok,13,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/232888152.json,2026-05-06
1,whole-planet-foundation,202376273,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/202376273.json,2026-05-06
1,impactassets,262048480,,ok,13,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/262048480.json,2026-05-06
1,the-dunn-family-charitable-foundation,453077366,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/453077366.json,2026-05-06
1,the-shapiro-family-foundation,261372643,,ok,11,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/261372643.json,2026-05-06
1,nathan-cummings-foundation,237093201,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/237093201.json,2026-05-06
1,paul-g-allen-family-foundation,943082532,,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/943082532.json,2026-05-06
2,ford-foundation,131684331,foundation,ok,11,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/131684331.json,2026-05-06
2,rockefeller-foundation,131659629,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/131659629.json,2026-05-06
2,gates-foundation,562618866,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/562618866.json,2026-05-06
2,macarthur-foundation,237093598,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/237093598.json,2026-05-06
2,hewlett-foundation,941655673,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/941655673.json,2026-05-06
2,packard-foundation,942278431,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/942278431.json,2026-05-06
2,hilton-foundation,943100217,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/943100217.json,2026-05-06
2,kellogg-foundation,381359264,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/381359264.json,2026-05-06
2,skoll-foundation,113659133,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/113659133.json,2026-05-06
2,surdna-foundation,136108163,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/136108163.json,2026-05-06
2,rwjf,226029397,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/226029397.json,2026-05-06
2,mcknight-foundation,410754835,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/410754835.json,2026-05-06
2,macp,371758406,foundation,ok,7,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/371758406.json,2026-05-06
2,open-society-foundations,263753801,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/263753801.json,2026-05-06
2,omidyar-network,201173866,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/201173866.json,2026-05-06
2,czi,455002209,foundation,ok,9,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/455002209.json,2026-05-06
2,bloomberg-philanthropies,205602483,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/205602483.json,2026-05-06
2,bezos-earth-fund,931868994,foundation,ok,1,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/931868994.json,2026-05-06
2,ciff-us,43632641,foundation,ok,8,2021,https://projects.propublica.org/nonprofits/api/v2/organizations/43632641.json,2026-05-06
2,visa-foundation,814503596,foundation,ok,5,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/814503596.json,2026-05-06
2,citi-foundation,133781879,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/133781879.json,2026-05-06
2,jpmc-foundation,237049738,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/237049738.json,2026-05-06
2,bofa-foundation,200721133,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/200721133.json,2026-05-06
2,metlife-foundation,132878224,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/132878224.json,2026-05-06
2,pfizer-foundation,136083839,foundation,ok,8,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/136083839.json,2026-05-06
2,autodesk-foundation,611703255,foundation,ok,9,2024,https://projects.propublica.org/nonprofits/api/v2/organizations/611703255.json,2026-05-06
2,schmidt-family-foundation,204170342,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/204170342.json,2026-05-06
2,cisneros-foundation,872492348,foundation,ok,0,,https://projects.propublica.org/nonprofits/api/v2/organizations/872492348.json,2026-05-06
2,cordes-foundation,251926063,foundation,ok,14,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/251926063.json,2026-05-06
2,helmsley-charitable-trust,137184401,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/137184401.json,2026-05-06
2,heron-foundation,133647019,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/133647019.json,2026-05-06
2,howard-g-buffett-foundation,470824756,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/470824756.json,2026-05-06
2,kl-felicitas-foundation,770539366,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/770539366.json,2026-05-06
2,lemelson-foundation,880391959,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/880391959.json,2026-05-06
2,novo-foundation,470824753,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/470824753.json,2026-05-06
2,patrick-j-mcgovern-foundation,223021586,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/223021586.json,2026-05-06
2,russell-family-foundation,911663336,foundation,ok,11,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/911663336.json,2026-05-06
2,sorenson-impact-foundation,453203840,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/453203840.json,2026-05-06
2,tara-health-foundation,465645300,foundation,ok,7,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/465645300.json,2026-05-06
2,walton-family-foundation,133441466,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/133441466.json,2026-05-06
2,dovetail-impact-foundation,760324538,foundation,ok,11,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/760324538.json,2026-05-06
2,draper-richards-kaplan-foundation,912172351,foundation,ok,6,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/912172351.json,2026-05-06
2,ezrah-charitable-trust,812608588,foundation,ok,5,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/812608588.json,2026-05-06
2,focusing-philanthropy,452405071,foundation,ok,12,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/452405071.json,2026-05-06
2,john-deere-foundation,366051024,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/366051024.json,2026-05-06
2,osprey-foundation,141862154,foundation,ok,11,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/141862154.json,2026-05-06
2,the-missionary-sisters-of-the-sacred-heart-of-jesus,132863648,foundation,ok,0,,https://projects.propublica.org/nonprofits/api/v2/organizations/132863648.json,2026-05-06
2,vanguard-charitable,232888152,foundation,ok,13,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/232888152.json,2026-05-06
2,whole-planet-foundation,202376273,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/202376273.json,2026-05-06
2,impactassets,262048480,foundation,ok,13,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/262048480.json,2026-05-06
2,the-dunn-family-charitable-foundation,453077366,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/453077366.json,2026-05-06
2,the-shapiro-family-foundation,261372643,foundation,ok,11,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/261372643.json,2026-05-06
2,nathan-cummings-foundation,237093201,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/237093201.json,2026-05-06
2,paul-g-allen-family-foundation,943082532,foundation,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/943082532.json,2026-05-06
2,kellogg-foundation,366030614,trust,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/366030614.json,2026-05-06
2,gates-foundation,911663695,trust,ok,10,2023,https://projects.propublica.org/nonprofits/api/v2/organizations/911663695.json,2026-05-06
